"","x"
"1",12.56
"2",6.39545454545454
"3",12.56
"4",18.1890909090909
"5",18.1890909090909
"6",12.56
"7",20.2244444444445
"8",18.1890909090909
"9",18.1890909090909
"10",23.3416666666667
"11",18.1890909090909
"12",18.1890909090909
"13",30.7214285714286
"14",20.2244444444445
"15",20.2244444444445
"16",30.7214285714286
"17",30.7214285714286
"18",12.56
"19",21.4785714285714
"20",23.3416666666667
"21",21.4785714285714
"22",18.1890909090909
"23",26.1916666666667
"24",23.3416666666667
"25",18.1890909090909
"26",21.4785714285714
"27",20.2244444444445
"28",21.4785714285714
"29",23.3416666666667
"30",26.1916666666667
"31",21.4785714285714
"32",12.56
"33",23.3416666666667
"34",26.1916666666667
"35",18.1890909090909
"36",18.1890909090909
"37",12.56
"38",20.2244444444445
"39",30.7214285714286
"40",26.1916666666667
"41",23.3416666666667
"42",21.4785714285714
"43",20.2244444444445
"44",23.3416666666667
"45",18.1890909090909
"46",20.2244444444445
"47",23.3416666666667
"48",12.56
"49",23.3416666666667
"50",18.1890909090909
"51",20.2244444444445
"52",21.4785714285714
"53",6.39545454545454
"54",6.39545454545454
"55",23.3416666666667
"56",26.1916666666667
"57",18.1890909090909
"58",18.1890909090909
"59",18.1890909090909
"60",12.56
"61",12.56
"62",26.1916666666667
"63",30.7214285714286
"64",26.1916666666667
